contract_id,product_code,month_date,test_count,region
1,Product_A,2024-05-01,100,Region_1
1,Product_A,2024-06-01,80,Region_1
1,Product_A,2024-07-01,60,Region_1
1,Product_A,2024-08-01,40,Region_1
1,Product_A,2024-09-01,20,Region_1
1,Product_A,2024-10-01,10,Region_1
2,Product_B,2024-05-01,50,Region_1
2,Product_B,2024-06-01,50,Region_1
2,Product_B,2024-07-01,50,Region_1
2,Product_B,2024-08-01,50,Region_1
2,Product_B,2024-09-01,50,Region_1
2,Product_B,2024-10-01,10,Region_1
3,Product_A,2024-05-01,25,Region_2
3,Product_A,2024-06-01,26,Region_2
3,Product_A,2024-07-01,27,Region_2
3,Product_A,2024-08-01,28,Region_2
3,Product_A,2024-09-01,29,Region_2
3,Product_A,2024-10-01,30,Region_2
4,Product_C,2024-05-01,15,Region_2
4,Product_C,2024-06-01,14,Region_2
4,Product_C,2024-07-01,13,Region_2
4,Product_C,2024-08-01,12,Region_2
4,Product_C,2024-09-01,11,Region_2
4,Product_C,2024-10-01,10,Region_2
5,Product_A,2024-05-01,120,Region_3
5,Product_A,2024-06-01,120,Region_3
5,Product_A,2024-07-01,121,Region_3
5,Product_A,2024-08-01,122,Region_3
5,Product_A,2024-09-01,125,Region_3
5,Product_A,2024-10-01,130,Region_3
6,Product_B,2024-05-01,80,Region_3
6,Product_B,2024-06-01,80,Region_3
6,Product_B,2024-07-01,80,Region_3
6,Product_B,2024-08-01,80,Region_3
6,Product_B,2024-09-01,80,Region_3
6,Product_B,2024-10-01,80,Region_3
7,Product_D,2024-05-01,3,Region_3
7,Product_D,2024-06-01,2,Region_3
7,Product_D,2024-07-01,2,Region_3
7,Product_D,2024-08-01,2,Region_3
7,Product_D,2024-09-01,1,Region_3
7,Product_D,2024-10-01,1,Region_3
8,Product_B,2024-05-01,45,Region_1
8,Product_B,2024-06-01,40,Region_1
8,Product_B,2024-07-01,35,Region_1
8,Product_B,2024-08-01,30,Region_1
8,Product_B,2024-09-01,15,Region_1
8,Product_B,2024-10-01,5,Region_1
9,Product_C,2024-05-01,60,Region_2
9,Product_C,2024-06-01,60,Region_2
9,Product_C,2024-07-01,60,Region_2
9,Product_C,2024-08-01,60,Region_2
9,Product_C,2024-09-01,60,Region_2
9,Product_C,2024-10-01,60,Region_2
10,Product_A,2024-05-01,90,Region_3
10,Product_A,2024-06-01,90,Region_3
10,Product_A,2024-07-01,90,Region_3
10,Product_A,2024-08-01,90,Region_3
10,Product_A,2024-09-01,90,Region_3
10,Product_A,2024-10-01,90,Region_3
